Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
HOOH	H2O2	7722-84-1	InChI=1S/H2O2/c1-2/h1-2H	-135.88±0.64	298	5700	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of OH+OH. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2PO+	H2PO+	NoData	InChI=1S/H2OP/c1-2/h2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSSH	H2S2	13465-07-1	InChI=1S/H2S2/c1-2/h1-2H	15.5±2.1	298	3100	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of S2H+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2S2+	H2S2+	63228-83-1	InChI=1S/H2S2/c1-2/h1-2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2SiO	H2SiO	22755-01-7	InChI=1S/H2OSi/c1-2/h2H2	NoData	NoData	4050	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+O+O+H2 The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2SiO+	H2SiO+	NoData	InChI=1S/H2OSi/c1-2/h2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2SO	H2SO	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3O+	H3O+	13968-08-6	InChI=1S/H2O/h1H2/p+1	603.417±0.61	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3S+	H3S+	18155-21-0	InChI=1S/H2S/h1H2/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC2N	HC2N	2612-62-6	InChI=1S/C2HN/c1-2-3/h1H	476.541±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC2O	HC2O	51095-15-9	InChI=1S/C2HO/c1-2-3/h1H	175	298	2400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2O + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HC2S+	HC2S+	NoData	InChI=1S/C2HS/c1-2-3/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
l-C3H	HC3	53590-28-6	InChI=1S/C3H/c1-3-2/h1H	719.393±8	298	4000±1200	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
l-C3H	HC3	53590-28-6	InChI=1S/C3H/c1-3-2/h1H	719.393±8	298	2937	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2H + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HCCS	HCCS	79010-88-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCNH+	HCNH+	38263-97-7	InChI=1S/CH2N/c1-2/h1-2H/q+1	955.58±1.6	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCNO	HCNO	NoData	InChI=1S/CHNO/c1-2-3/h1H	167.603±1.2	298	2800	0	0	1.28E+12	0	Measurements	Bibliography	Quan,D.etal.;2010;AstrophysicalJournal;725,2101-2109	H2O	 Pre-exponential factor is computed using Hasegawa et al. (1992)
HCNO+	HCNO+	NoData	InChI=1S/CHNO/c1-2-3/h1H/q+1	1218.89±1.53	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCNS	HCNS	NoData	InChI=1S/CHNS/c1-2-3/h1H	264	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCNS+	HCNS+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HOCO+	HCO2+	638-71-1	InChI=1S/CHO2/c2-1-3/h(H,2,3)/q+1	604.166±0.472	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HDCO	HDCO	NoData	InChI=1S/CH2O/c1-2/h1H2/i1D	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HN2O+	HN2O+	NoData	InChI=1S/N2O/c1-2-3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNCO+	HNCO+	NoData	InChI=1S/CHNO/c2-1-3/h2H/q+1	1006.582±0.54	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNCS	HNCS	NoData	InChI=1S/CHNS/c2-1-3/h2H	116	0	4600±1380	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HNCS+	HNCS+	NoData	InChI=1S/CHNS/c2-1-3/h2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HOCN	HOCN	NoData	InChI=1S/CHNO/c2-1-3/h3H	-15.456±20	298	2800	0	0	1.28E+12	0	Measurements	Bibliography	Quan,D.etal.;2010;AstrophysicalJournal;725,2101-2109	H2O	 Pre-exponential factor is computed using Hasegawa et al. (1992)
HOCN+	HOCN+	NoData	InChI=1S/CHNO/c2-1-3/h3H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HOCS+	HOCS+	NoData	InChI=1S/CHOS/c2-1-3/h(H,2,3)/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HONC	HONC	NoData	InChI=1S/CHNO/c1-2-3/h3H	233.15±1.02	298	2800	0	0	1.28E+12	0	Measurements	Bibliography	Quan,D.etal.;2010;AstrophysicalJournal;725,2101-2109	H2O	 Pre-exponential factor is computed using Hasegawa et al. (1992)
HONC+	HONC+	NoData	InChI=1S/CHNO/c1-2-3/h3H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSCN	HSCN	463-56-9	InChI=1S/CHNS/c2-1-3/h3H	155	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSCN+	HSCN+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSiO2+	HSiO2+	NoData	InChI=1S/HO2Si/c1-3-2/h3H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSO2+	HSO2+	NoData	InChI=1S/O2S/c1-3-2/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2C2S+	H2C2S+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
l-C3H2	H2C3	60731-10-4	InChI=1S/C3H2/c1-3-2/h1H2	651.03	298	3387	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
l-C3H2+	H2C3+	85398-75-0	InChI=1S/C3H2/c1-3-2/h1H2/q+1	1411	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CCS	H2CCS	18282-77-4	InChI=1S/C2H2S/c1-2-3/h1H2	196	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CNO+	H2CNO+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CNS+	H2CNS+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CSH+	H2CSH+	20828-73-3	InChI=1S/CH3S/c1-2/h1H3/q+1	245±0.5	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2NCO+	H2NCO+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2NCS+	H2NCS+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2OCN+	H2OCN+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2SCN+	H2SCN+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2COH+	H3CO+	17691-31-5	InChI=1S/CH3O/c1-2/h2H,1H2/q+1	716.4±0.24	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3S2+	H3S2+	NoData	InChI=1S/H2S2/c1-2/h1-2H/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3SiO+	H3SiO+	NoData	InChI=1S/H3OSi/c1-2/h2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC2N2	HC2N2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCCNC	HC2NC	NoData	InChI=1S/C3HN/c1-3-4-2/h1H	NoData	NoData	4580	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HC3N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HC3N	HC3N	1070-71-9	InChI=1S/C3HN/c1-2-3-4/h1H	368.414±8	298	4580	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HCCN+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HC3O	HC3O	NoData	1S/C3HO/c1-2-3-4/h1H	290	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC3O+	HC3O+	NoData	InChI=1S/C3HO/c1-2-3-4/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC3S	HC3S	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC3S+	HC3S+	NoData	InChI=1S/C3HS/c1-2-3-4/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCNCC	HCNC2	NoData	InChI=1S/C3HN/c1-3-4-2/h2H	NoData	NoData	4580	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HC3N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HCNOH+	HCNOH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCNSH+	HCNSH+	KJGUCJCRKUJYAI-UHFFFAOYSA-O	InChI=1S/CHNS/c1-2-3/h1H/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCOCO	HCOCO	NoData	NoData	NoData	NoData	2050	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HNCCC	HNC3	NoData	InChI=1S/C3HN/c1-2-3-4/h4H	NoData	NoData	4580	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HC3N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HNCHS	HNCHS	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNCOH+	HNCOH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNCSH	HNCSH	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNCSH+	HNCSH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSCHN	HSCHN	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2C3N	H2C3N	NoData	NoData	442.855±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2C3O	H2C3O	61244-93-7	NoData	122	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2C3O+	H2C3O+	87612-93-9	InChI=1S/C3H2O/c1-2-3-4/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2C3S	H2C3S	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2C3S+	H2C3S+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
l-C3H3+	H3C3+	21540-27-2	InChI=1S/C3H3/c1-3-2/h1H,2H2/q+1	1198.416±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC2NCH+	HC2NCH+	150767-63-8	InChI=1S/C3H2N/c1-3-4-2/h1-2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC4N	HC4N	NoData	InChI=1S/C4HN/c1-2-3-4-5/h1H	NoData	NoData	5380	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HC4N+	HC4N+	NoData	InChI=1S/C4HN/c1-2-3-4-5/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC4O+	HC4O+	NoData	InChI=1S/C4HO/c1-2-3-4-5/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC4S+	HC4S+	NoData	InChI=1S/C4HS/c1-2-3-4-5/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCCCHS	HCCCHS	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCOCHO	HCOCHO	NoData	NoData	NoData	NoData	2050	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HNCHSH	HNCHSH	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2C4N+	H2C4N+	NoData	InChI=1S/C4H2N/c1-2-3-4-5/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H3CO+	H3C3O+	NoData	InChI=1S/C3H3O/c1-2-3-4/h3H,1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
c-C3H2OH+	H3C3O+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCCCHOH+	H3C3O+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC5N	HC5N	59866-32-9	InChI=1S/C5HN/c1-2-3-4-5-6/h1H	NoData	NoData	6180	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HC3N+C+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HC5O+	HC5O+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCCCHSH+	HCCCHSH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3C4N+	H3C4N+	NoData	InChI=1S/C4H3N/c1-2-3-4-5/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC6N	HC6N	NoData	InChI=1S/C6HN/c1-2-3-4-5-6-7/h1H	NoData	NoData	7780	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HC6N+	HC6N+	129066-54-2	InChI=1S/C6HN/c1-2-3-4-5-6-7/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCOOCH3	HCOOCH3	107-31-3	InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3	-357.796±0.6	298	6295	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HCOOH+CH3-H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2C6N+	H2C6N+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
